Platform Information: 

  CPU: Intel Pentium Gold G5500T (3.2G)
       HyperThread and HardwarePrefetch Disabled
  Mainboard: ASRock H370M-ITX/ac
  Memory: 2 * Corsair DDR4-2400 8G (1 rank, 16 banks)
  OS: Windows 7 x64 (7601)


Results of X86 version:

Real Time Clock Latency: 31
Cache miss: 229 (260 - 31)  Cache hit: 2 (33 - 31)
Instruction mul: 2 (33 - 31)
Instruction div: 20 (51 - 31)
Instruction float mul: 18 (49 - 31)
Instruction float div: 26 (57 - 31)
2 layer empty loops (8388608 * 1): 69519519 (69519550 - 31)
2 layer empty loops (4194304 * 2): 52962044 (52962075 - 31)
2 layer empty loops (2097152 * 4): 31470456 (31470487 - 31)
2 layer empty loops (1048576 * 8): 28094158 (28094189 - 31)
2 layer empty loops (524288 * 16): 33756467 (33756498 - 31)
2 layer empty loops (262144 * 32): 49987769 (49987800 - 31)
2 layer empty loops (131072 * 64): 42717397 (42717428 - 31)
2 layer empty loops (1M * 8): 28094677 (28094708 - 31)
2 layer empty loops (8 * 1M): 46667721 (46667752 - 31)
2 layer maccess loops (1M * 8): 207560819 (207560850 - 31)
2 layer maccess loops (8 * 1M): 251271881 (251271912 - 31)
3 layer empty loops (1M * 64 * 8): 492522159 (492522190 - 31)
3 layer empty loops (8 * 64 * 1M): 746476062 (746476093 - 31)
3 layer maccess loops (1M * 64 * 8): 1266664285 (1266664316 - 31)
3 layer maccess loops (8 * 64 * 1M): 4021486544 (4021486575 - 31)
round, BYTE, SHORT, LONG, LONGLONG
34,      43.279, 23544, 544
35,      42.600, 23856, 560
36,      42.000, 24192, 576
37,      43.250, 25604, 592
38,      42.707, 25966, 608
39,      43.127, 26911, 624
40,      43.134, 27606, 640
41,      42.674, 27994, 656
42,      42.124, 28307, 672
43,      41.526, 28570, 688
44,      40.942, 28823, 704
45,      41.717, 30036, 720
46,      42.909, 31581, 736
47,      43.305, 32565, 752
48,      43.279, 33238, 768
49,      42.773, 33534, 784
50,      42.248, 33798, 800
51,      41.805, 34113, 816
52,      41.340, 34395, 832
53,      42.261, 35837, 848
54,      42.645, 36845, 864
55,      43.255, 38064, 880
56,      43.328, 38822, 896
57,      42.787, 39022, 912
58,      42.397, 39344, 928
59,      42.007, 39655, 944
60,      41.638, 39972, 960
61,      42.299, 41284, 976
62,      43.106, 42761, 992
63,      43.311, 43657, 1008
64,      43.234, 44272, 1024

Measure L1 cache associative ways for window: 262144
step, latency, clocks, rounds
1,       3.438, 55, 16
2,       3.594, 115, 32
3,       3.438, 165, 48
4,       3.469, 222, 64
5,       11.988, 959, 80
6,       12.115, 1163, 96
7,       12.089, 1354, 112
8,       12.539, 1605, 128
9,       18.903, 2722, 144
10,      18.931, 3029, 160
11,      18.955, 3336, 176
12,      18.953, 3639, 192
13,      18.928, 3937, 208
14,      18.991, 4254, 224
15,      18.925, 4542, 240
16,      18.922, 4844, 256
17,      18.908, 5143, 272
18,      18.948, 5457, 288
19,      18.954, 5762, 304
20,      18.962, 6068, 320
21,      18.961, 6371, 336
22,      18.972, 6678, 352
