Real Time Clock Latency: 27
Cache miss: 186 (213 - 27)  Cache hit: 6 (33 - 27)
Instruction mul: 6 (33 - 27)
Instruction div: 12 (39 - 27)
Instruction float mul: 18 (45 - 27)
Instruction float div: 27 (54 - 27)
2 layer empty loops (8388608 * 1): 49747992 (49748019 - 27)
2 layer empty loops (4194304 * 2): 29968926 (29968953 - 27)
2 layer empty loops (2097152 * 4): 26305458 (26305485 - 27)
2 layer empty loops (1048576 * 8): 26811285 (26811312 - 27)
2 layer empty loops (524288 * 16): 30047553 (30047580 - 27)
2 layer empty loops (262144 * 32): 49940469 (49940496 - 27)
2 layer empty loops (131072 * 64): 48731631 (48731658 - 27)
2 layer empty loops (1M * 8): 26661597 (26661624 - 27)
2 layer empty loops (8 * 1M): 41074119 (41074146 - 27)
2 layer maccess loops (1M * 8): 61264542 (61264569 - 27)
2 layer maccess loops (8 * 1M): 97182510 (97182537 - 27)
3 layer empty loops (1M * 64 * 8): 460473606 (460473633 - 27)
3 layer empty loops (8 * 64 * 1M): 690272451 (690272478 - 27)
3 layer maccess loops (1M * 64 * 8): 945598269 (945598296 - 27)
3 layer maccess loops (8 * 64 * 1M): 1556611188 (1556611215 - 27)
round, BYTE, SHORT, LONG, LONGLONG
16,      33.434, 8559, 256
17,      32.713, 8898, 272
18,      32.802, 9447, 288
19,      32.822, 9978, 304
20,      32.888, 10524, 320
21,      32.893, 11052, 336
22,      32.949, 11598, 352
23,      31.753, 11685, 368
24,      32.984, 12666, 384
25,      33.000, 13200, 400
26,      33.043, 13746, 416
27,      33.035, 14271, 432
28,      33.033, 14799, 448
29,      33.078, 15348, 464
30,      33.138, 15906, 480
31,      33.085, 16410, 496
32,      33.123, 16959, 512
33,      33.051, 17451, 528
34,      33.127, 18021, 544
35,      33.145, 18561, 560
36,      33.141, 19089, 576
37,      35.600, 21075, 592
38,      35.595, 21642, 608
39,      33.221, 20730, 624
40,      33.197, 21246, 640
41,      33.224, 21795, 656
42,      33.246, 22341, 672
43,      33.292, 22905, 688
44,      33.277, 23427, 704
45,      33.263, 23949, 720
46,      51.465, 37878, 736
47,      49.520, 37239, 752
48,      72.543, 55713, 768
49,      82.167, 64419, 784
50,      97.864, 78291, 800
51,      96.335, 78609, 816
52,      112.597, 93681, 832
53,      126.754, 107487, 848
54,      128.208, 110772, 864
55,      132.842, 116901, 880
56,      133.972, 120039, 896
57,      134.961, 123084, 912
58,      132.556, 123012, 928
59,      136.974, 129303, 944
60,      138.981, 133422, 960
61,      142.107, 138696, 976
62,      142.551, 141411, 992
63,      145.646, 146811, 1008
64,      149.306, 152889, 1024

Measure L1 cache associative ways for window: 524288
step, latency, clocks, rounds
1,       3.188, 51, 16
2,       3.094, 99, 32
3,       3.188, 153, 48
4,       3.141, 201, 64
5,       16.650, 1332, 80
6,       16.750, 1608, 96
7,       17.170, 1923, 112
8,       17.063, 2184, 128
9,       21.042, 3030, 144
10,      25.350, 4056, 160
11,      27.886, 4908, 176
12,      31.234, 5997, 192
13,      32.553, 6771, 208
14,      32.719, 7329, 224
15,      32.800, 7872, 240
16,      32.754, 8385, 256
17,      32.846, 8934, 272
18,      32.938, 9486, 288
19,      32.990, 10029, 304
20,      32.916, 10533, 320
21,      35.420, 11901, 336
22,      35.463, 12483, 352
23,      35.568, 13089, 368
24,      35.469, 13620, 384
25,      35.542, 14217, 400
26,      35.611, 14814, 416
27,      35.243, 15225, 432
28,      35.551, 15927, 448
29,      33.246, 15426, 464
30,      33.288, 15978, 480
31,      33.212, 16473, 496
32,      32.936, 16863, 512
33,      34.670, 18306, 528
34,      36.044, 19608, 544
35,      40.071, 22440, 560
36,      38.771, 22332, 576
37,      42.846, 25365, 592
38,      46.609, 28338, 608
39,      50.370, 31431, 624
40,      72.684, 46518, 640
41,      99.357, 65178, 656
42,      108.857, 73152, 672
43,      106.844, 73509, 688
44,      104.045, 73248, 704
45,      104.033, 74904, 720
46,      115.154, 84753, 736
47,      138.343, 104034, 752
48,      139.754, 107331, 768
49,      160.064, 125490, 784
50,      162.615, 130092, 800
51,      168.930, 137847, 816
52,      176.434, 146793, 832
53,      173.756, 147345, 848
54,      170.986, 147732, 864
